Item ID	 UOM	 Item Name	
100P0432		PT MTG. FLAT
100P0433		BODY FOR SLIDE ASSLY
100P0434		GUIDE
100P0435		RAMBOID-325.par
100P0436		GUIDE COVER
100P0437		ALLEN BOLT - M8 x 50 L
100P0438		WASHER M6
100P0439		Allen M6X12
100P0440		WASHER M10
100P0441		ALLEN M10X50
100P0442		ALLEN BOLT - M8 x 25 L
100P0443		DIESET - BOTTOM PLATE
100P0444		DIESET - PILLAR
100P0445		DIESET - SPRING GUIDE
100P0446		DIESET - STOPPER
100P0447		DIESET - FIBROFLEX
100P0448		DIESET TOP PLATE
100P0449		DIESET - BUSH
100P0450		DIESET - CAP
100P0451		DIESET - BELOW
100P0452		WASHER M10
100P0453		HEX BOLT M10X25
100P0454		INSULATING BUSH
100P0455		WASHER M8
100P0456		ALLEN M8X50
100P0457		ALLEN M8X30
100P0458		BALL CAGE DIA 31-25 X 40
100P0459		CIRCLIP - EXTERNAL
100P0460		DIESET - BACKELIT
100P0461		SENSOR DOG MNTG BKT
100P0462		WASHER M12
100P0463		SENSOR DOG MNTG
100P0464		HEX. NUT M12
100P0465		SENSOR DOG
100P0466		ALLEN GRUB SCREW M8X12
100P0467		WASHER M6
100P0468		ALLEN M5X35
100P0469		SENSOR BKT
100P0470		BASE PLATE
100P0471		CYL. MTG BRACKET
100P0472		BAKELITE-LM BLOCK
100P0473		MOVING ELECT MTG BLOCK
100P0474		BAKELITE-COUPLAR END
100P0475		COUPLER END
100P0476		INSULATING BUSH-M8
100P0477		KEY
100P0478		FIXED BOTTOM ELECT MTG
100P0479		INSULATING BUSH-M6
100P0480		SPACER
100P0481		BAKELITE-FIXED ELECTRODE
100P0482		FIXED ELECT MTG BLOCK
100P0483		STOPPER_BRACKET
100P0484		STOPPER LEAD SCREW
100P0485		SENSOR BKT
100P0486		SENSOR STRIP
100P0487		BOTTOM ELECTRODE
100P0488		BAND COND SUPPORT- LH
100P0489		Base Plate Support-RH
100P0490		CU BLOCK
100P0491		JANATICS CYL. DIA 100 X 50
100P0492		JANATICS-ROD END  M16 X  1.5
100P0493		HIWIN BLOCK-HG 30
100P0494		HIWIN RAIL
100P0495		ALLEN BOLT  M10x35
100P0496		Countersunk Screw - M6x8
100P0497		ALLEN BOLT  M8x35
100P0498		ALLEN BOLT  M8x25
100P0499		ALLEN BOLT M8x30
100P0500		ALLEN BOLT M6x35
100P0501		ALLEN BOLT M8x20
100P0502		SHAFT
100P0503		BLOCK
100P0504		TEE BLOCK
100P0505		BLOCK-1
100P0506		VER PLATE-RHS
100P0507		VER PLATE-LHS
100P0508		HOR PLATE
100P0509		TEE BLOCK MTG PLATE
100P0510		LOCK NUT
100P0511		PIVOT BRACKET
100P0512		STOPPER BLOCK
100P0513		INSULATION BUSH
100P0514		BOX NUT
100P0515		LEAD SCREW
100P0516		CYL CONNECTOR
100P0517		LOCK PIN
100P0518		SWING COVER
100P0519		BEARING CAP
100P0520		STOPPER LEAD SCREW
100P0521		LOCKING WASHER
100P0522		LOCK NUT FOR LEAD SCREW
100P0523		STOPPER LHS
100P0524		STOPPER RHS
100P0525		FK-M10x1.25 CONNECTOR ASSLY
100P0526		EXTERNAL CIRCLIP A10 3075-1965
100P0527		Connector A63 032 030 O-M
100P0528		SHOCK ABSORBER
100P0529		SILENCER 1/8
100P0530		DCV 14 DS255SR61
100P0531		FCV 1.8-8 GR5105008
100P0532		HIWIN BLOCK-HG 30
100P0533		HIWIN RAIL-HG 30
100P0534		INSULATING BUSH M6
100P0535		JANATICS CYL. DIA 32X 30 ASSLY
100P0536		REGULATOR 1-4 R13614
100P0537		REGULATOR MTG BKT-1.4
100P0538		PUSH IN FITTING1/4-8
100P0539		ELBOW 1/4-8
100P0540		Washer ISO 7089 - 6
100P0541		ALLEN BOLT M6x35
100P0542		ALLEN BOLT - M6x12
100P0543		ALLEN BOLT M6x25
100P0544		ALLEN BOLT M6x30
100P0545		ALLEN BOLT M8x20
100P0546		ALLEN BOLT M8x30
100P0547		ALLEN BOLT- M8x45
100P0548		ALLEN BOLT  M8x25
100P0549		ALLEN BOLT- M16x25
100P0550		ALLEN BOLT- M5x10
100P0551		ALLEN BOLT - M4x25
